Designator,Mid X,Mid Y,Rotation,Layer
D_A1,41.5,-33.0,90.0,bottom
D_A2,60.5,-33.0,90.0,bottom
D_A3,79.5,-33.0,90.0,bottom
D_A4,98.75,-41.75,90.0,bottom
D_A5,101.0,-41.75,90.0,bottom
D_A6,120.25,-42.0,90.0,bottom
D_A7,118.0,-42.0,90.0,bottom
D_B1,72.25,-61.15,90.0,bottom
D_B2,70.0,-61.15,90.0,bottom
D_B3,87.75,-61.75,90.0,bottom
D_B4,108.25,-61.25,90.0,bottom
D_B5,127.75,-61.0,90.0,bottom
D_B6,130.0,-61.15,90.0,bottom
D_C1,49.75,-74.75,90.0,bottom
D_C2,74.25,-80.4,90.0,bottom
D_C3,94.0593,-80.4,90.0,bottom
D_C4,113.0,-80.4,90.0,bottom
D_C5,132.0,-80.4,90.0,bottom
D_C6,134.25,-80.4,90.0,bottom
D_D1,64.889,-90.4874,90.0,bottom
D_D3,84.5343,-99.25,90.0,bottom
D_D4,103.25,-96.25,90.0,bottom
D_D5,122.75,-99.25,90.0,bottom
D_D6,140.5,-98.5,90.0,bottom
D_D7,143.75,-99.5,90.0,bottom
D_E1,44.0531,-109.5374,90.0,bottom
D_E2,67.8656,-109.5374,90.0,bottom
D_E3,91.678,-109.5374,90.0,bottom
D_E5,96.0,-109.5,90.0,bottom
D_E7,93.75,-109.5374,90.0,bottom
S1,25.5,-65.5,270.0,top
S2,25.5,-65.5,90.0,bottom
SW_A1,33.3375,-33.3375,0.0,top
SW_A2,52.3875,-33.3375,0.0,top
SW_A3,71.4374,-33.3375,0.0,top
SW_A4,90.4874,-33.3375,0.0,top
SW_A5,109.5374,-33.3375,0.0,top
SW_A6,128.5874,-33.3375,0.0,top
SW_A7,147.6374,-33.3375,0.0,top
SW_B1,38.1,-52.3875,180.0,top
SW_B2,61.9124,-52.3875,180.0,top
SW_B3,80.9624,-52.3875,0.0,top
SW_B4,100.0124,-52.3875,0.0,top
SW_B5,119.0624,-52.3875,0.0,top
SW_B6,138.1124,-52.3875,0.0,top
SW_C1,40.4812,-71.4374,180.0,top
SW_C2,66.6749,-71.4374,0.0,top
SW_C3,85.7249,-71.4374,0.0,top
SW_C4,104.7749,-71.4374,0.0,top
SW_C5,123.8249,-71.4374,0.0,top
SW_C6,142.8749,-71.4374,0.0,top
SW_CB1,35.7187,-71.4374,0.0,top
SW_D1,45.2437,-90.4874,0.0,top
SW_D3,76.1999,-90.4874,0.0,top
SW_D4,95.2499,-90.4874,0.0,top
SW_D5,114.2999,-90.4874,0.0,top
SW_D6,133.3499,-90.4874,0.0,top
SW_D7,152.3999,-90.4874,0.0,top
SW_E1,35.7187,-109.5374,0.0,top
SW_E2,59.5312,-109.5374,0.0,top
SW_E3,83.3437,-109.5374,0.0,top
SW_E5,116.6812,-109.5374,180.0,top
SW_E7,150.0186,-109.5374,180.0,top
SW_EB5,107.1562,-109.5374,0.0,top
SW_EB7,140.4936,-109.5374,0.0,top
TP2,53.5,-69.0,180.0,bottom
TP3,62.5078,-80.9624,180.0,bottom
U2,41.72,-50.62,0.0,top
