Ref,Val,Package,PosX,PosY,Rot,Side
"SW_A1","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",33.337500,-33.337500,0.000000,top
"SW_A2","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",52.387500,-33.337500,0.000000,top
"SW_A3","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",71.437400,-33.337500,0.000000,top
"SW_A4","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",90.487400,-33.337500,0.000000,top
"SW_A5","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",109.537400,-33.337500,0.000000,top
"SW_A6","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",128.587400,-33.337500,0.000000,top
"SW_A7","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",147.637400,-33.337500,0.000000,top
"SW_B1","SW_Push","Kailh_socket_MX-ChocV1_flippedpads",38.100000,-52.387500,180.000000,top
"SW_B2","SW_Push","Kailh_socket_MX-ChocV1_flippedpads",61.912400,-52.387500,180.000000,top
"SW_B3","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",80.962400,-52.387500,0.000000,top
"SW_B4","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",100.012400,-52.387500,0.000000,top
"SW_B5","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",119.062400,-52.387500,0.000000,top
"SW_B6","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",138.112400,-52.387500,0.000000,top
"SW_C1","SW_Push","Kailh_socket_MX-ChocV1_flippedpads",40.481200,-71.437400,180.000000,top
"SW_C2","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",66.674900,-71.437400,0.000000,top
"SW_C3","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",85.724900,-71.437400,0.000000,top
"SW_C4","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",104.774900,-71.437400,0.000000,top
"SW_C5","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",123.824900,-71.437400,0.000000,top
"SW_C6","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",142.874900,-71.437400,0.000000,top
"SW_CB1","SW_Push","Kailh_socket_MX-ChocV1_flippedpads",35.718700,-71.437400,0.000000,top
"SW_D1","SW_Push","Kailh_socket_MX-ChocV1-2.25U_onetoponebottom-flippedpads-reversedstabilizer",45.243700,-90.487400,180.000000,top
"SW_D3","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",76.199900,-90.487400,0.000000,top
"SW_D4","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",95.249900,-90.487400,0.000000,top
"SW_D5","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",114.299900,-90.487400,0.000000,top
"SW_D6","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",133.349900,-90.487400,0.000000,top
"SW_D7","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",152.399900,-90.487400,0.000000,top
"SW_E1","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",35.718700,-109.537400,0.000000,top
"SW_E2","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",59.531200,-109.537400,0.000000,top
"SW_E3","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",83.343700,-109.537400,0.000000,top
"SW_E5","SW_Push","Kailh_socket_MX-ChocV1-2.25U_onetoponebottom-flippedpads",116.681200,-109.537400,180.000000,top
"SW_E7","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",150.018600,-109.537400,180.000000,top
"SW_EB5","SW_Push","Kailh_socket_MX-ChocV1_onetoponebottom-flippedpads",107.156200,-109.537400,0.000000,top
"SW_EB7","SW_Push","Kailh_socket_MX-ChocV1-2.25U_onetoponebottom-flippedpads-reversedstabilizer",140.493600,-109.537400,0.000000,top
