Designator,Mid X,Mid Y,Rotation,Layer
,151.0,-51.5,0.0,top
D_A1,42.5,-40.5,90.0,bottom
D_A2,61.5,-40.5,90.0,bottom
D_A3,80.5,-40.5,90.0,bottom
D_A4,99.5,-40.5,90.0,bottom
D_A5,117.5,-41.0,90.0,bottom
D_A6,128.5,-44.0,90.0,bottom
D_A7,147.5,-44.5,90.0,bottom
D_A8,152.0,-44.5,90.0,bottom
D_A9,176.5,-31.0,90.0,bottom
D_B1,33.5,-61.0,90.0,bottom
D_B2,51.5,-61.0,90.0,bottom
D_B3,71.5,-61.0,90.0,bottom
D_B4,89.2968,-61.0,90.0,bottom
D_B5,109.0,-61.0,90.0,bottom
D_B6,127.5,-61.0,90.0,bottom
D_B7,147.0,-60.5,90.0,bottom
D_B8,152.5,-60.5,90.0,bottom
D_B9,174.25,-71.35,90.0,bottom
D_C1,37.5,-79.5,90.0,bottom
D_C2,57.5,-79.5,90.0,bottom
D_C3,75.5,-79.5,90.0,bottom
D_C4,94.5,-79.5,90.0,bottom
D_C5,114.0,-79.5,90.0,bottom
D_C6,136.5,-71.5,90.0,bottom
D_C8,168.728272,-71.35,90.0,bottom
D_C9,171.25,-71.35,90.0,bottom
D_D1,46.5,-99.5,90.0,bottom
D_D2,63.0,-99.5,90.0,bottom
D_D3,85.5,-99.5,90.0,bottom
D_D4,101.5,-99.5,90.0,bottom
D_D6,127.0,-91.0,90.0,bottom
D_D7,154.25,-91.0,90.0,bottom
D_D8,174.0,-80.0,90.0,bottom
D_D9,176.5,-80.0,90.0,bottom
D_E1,35.0,-101.0,90.0,bottom
D_E2,78.0,-109.5,90.0,bottom
D_E4,80.5,-109.537408,90.0,bottom
D_E5,101.0,-109.537592,90.0,bottom
D_E6,139.0,-110.0,90.0,bottom
D_E7,151.0,-99.0,90.0,bottom
D_E8,153.5,-99.0,90.0,bottom
D_E9,156.0,-99.0,90.0,bottom
SW_A1,33.337472,-33.337472,0.0,top
SW_A2,52.387456,-33.337472,0.0,top
SW_A3,71.43744,-33.337472,0.0,top
SW_A4,90.487424,-33.337472,0.0,top
SW_A5,109.537408,-33.337472,0.0,top
SW_A6,128.587392,-33.337472,0.0,top
SW_A7,147.637376,-33.337472,0.0,top
SW_A8,157.162368,-33.337472,180.0,top
SW_A9,185.737344,-33.337472,0.0,top
SW_AB8,166.68736,-33.337472,0.0,top
SW_B1,23.81248,-52.387456,0.0,top
SW_B2,42.862464,-52.387456,0.0,top
SW_B3,61.912448,-52.387456,0.0,top
SW_B4,80.962432,-52.387456,0.0,top
SW_B5,100.012416,-52.387456,0.0,top
SW_B6,119.0624,-52.387456,0.0,top
SW_B7,138.112384,-52.387456,0.0,top
SW_B8,161.924864,-52.387456,180.0,top
SW_B9,185.737344,-52.387456,180.0,top
SW_C1,28.574976,-71.43744,0.0,top
SW_C2,47.62496,-71.43744,0.0,top
SW_C3,66.674944,-71.43744,0.0,top
SW_C4,85.724928,-71.43744,0.0,top
SW_C5,104.774912,-71.43744,0.0,top
SW_C6,123.824896,-71.43744,0.0,top
SW_C8,154.78112,-72.30739,0.0,top
SW_C9,185.737344,-71.43744,0.0,top
SW_D1,38.099968,-90.487424,0.0,top
SW_D2,57.149952,-90.487424,0.0,top
SW_D3,76.199936,-90.487424,0.0,top
SW_D4,95.24992,-90.487424,0.0,top
SW_D6,114.299904,-90.487424,0.0,top
SW_D9,185.737344,-90.487424,0.0,top
SW_DB7,140.493632,-90.487424,0.0,top
SW_DB8,166.68736,-90.487424,0.0,top
SW_E1,54.768704,-109.537408,180.0,top
SW_E2,66.675056,-109.537592,0.0,top
SW_E9,185.737344,-109.537408,0.0,top
SW_EB1,40.481284,-109.537592,0.0,top
SW_EB4,90.487576,-109.537592,0.0,top
SW_EB5,109.537592,-109.537592,0.0,top
SW_EB6,128.587608,-109.537592,0.0,top
SW_EB7,147.637624,-109.537592,0.0,top
SW_EB8,166.68736,-109.537408,0.0,top
U2,179.53,-50.8486,180.0,top
