Designator,Footprint,Quantity,Value,LCSC Part #
"_6, _5, _4, _3, _2, ",,6,,
"D_A1, D_A2, D_A3, D_A4, D_A5, D_A6, D_A7, D_B1, D_B2, D_B3, D_B4, D_B5, D_B6, D_C1, D_C2, D_C3, D_C4, D_C5, D_C6, D_D1, D_D3, D_D4, D_D5, D_D6, D_D7, D_E1, D_E2, D_E3, D_E5, D_E7",D_SOD-123,30,D,
"H1, H2, H3, H4, H5, H6",MountingHole_3.2mm_M3_ISO14580_Pad,6,Hole,
"SW_A1, SW_A2, SW_A3, SW_A4, SW_A5, SW_A6, SW_A7, SW_B2, SW_B3, SW_B4, SW_B5, SW_B6, SW_C2, SW_C3, SW_C4, SW_C5, SW_C6, SW_D3, SW_D4, SW_D5, SW_D6, SW_D7, SW_EB5",ChocMX_flippedpads,23,SW_Push,
"SW_B1, SW_C1, SW_CB1",ChocMX_sameside_flippedpads,3,SW_Push,
SW_D1,ChocMX_2.25U_reversedstab,1,SW_Push,
"SW_E1, SW_E2, SW_E3, SW_E7",ChocMX,4,SW_Push,
SW_E5,ChocMX_flippedpads_2.25U_reversedstab,1,SW_Push,
SW_EB7,ChocMX_flippedpads_2.25U,1,SW_Push,
U2,ArduinoProMicro-ZigZag,1,ProMicro,
